length,width,depth,area,ambient_temp,surface_moisture,defect_severity,mass_required_kg,is_thermal_ok,is_monsoon_sim
0.569,1.603,0.0769,0.9126,31.1,2.7,1,207.502,1,0
3.11,0.646,0.1105,2.0085,36.1,0.9,2,656.261,1,0
1.417,0.274,0.058,0.3882,31.1,1.1,1,66.712,1,0
1.013,1.167,0.02,1.1825,24.8,16.0,0,70.024,0,1
0.27,0.534,0.0885,0.144,35.0,6.9,1,37.737,1,0
0.27,0.822,0.0356,0.2217,28.3,27.4,0,23.402,0,1
0.16,0.191,0.0692,0.0305,28.2,4.9,1,6.256,1,0
2.111,0.899,0.0708,1.8976,28.2,0.9,1,396.925,1,0
1.019,0.474,0.0625,0.4832,34.2,5.7,1,89.522,1,0
1.331,0.425,0.02,0.5663,30.3,5.2,0,33.51,1,0
0.121,3.226,0.0527,0.3897,26.1,11.0,1,60.948,0,1
3.604,0.553,0.0286,1.9932,27.7,23.7,0,168.853,0,1
1.886,1.007,0.0691,1.899,30.1,7.8,1,388.241,1,0
0.339,0.891,0.0423,0.3016,28.1,25.2,0,37.728,0,1
0.301,0.188,0.02,0.0566,27.8,30.0,0,3.344,0,1
0.303,1.202,0.0742,0.3639,29.4,8.0,1,80.0,1,0
0.463,0.412,0.0347,0.1908,28.0,20.9,0,19.579,0,1
0.844,1.383,0.0627,1.1674,31.0,4.5,1,216.469,1,0
0.666,0.848,0.0453,0.5647,26.5,36.2,0,75.581,0,1
0.444,0.405,0.0774,0.18,34.1,5.5,1,41.245,1,0
1.046,0.452,0.0765,0.4734,36.0,1.6,1,107.356,1,0
0.25,1.152,0.0648,0.2883,32.9,10.2,1,55.256,0,0
0.446,0.739,0.0579,0.3292,32.6,3.0,1,56.356,1,0
0.556,0.983,0.0512,0.5468,35.7,4.2,1,82.961,1,0
0.709,0.238,0.0359,0.1686,25.6,6.2,0,17.923,1,0
1.638,1.337,0.0482,2.1901,25.4,10.4,0,313.592,0,1
0.323,0.409,0.0696,0.132,30.6,8.3,1,27.198,0,0
0.822,0.874,0.0991,0.7183,36.4,5.3,1,210.658,1,0
0.998,0.197,0.0714,0.197,29.3,14.0,1,41.637,0,1
0.148,0.41,0.0743,0.0605,34.4,4.8,1,13.324,1,0
1.035,0.937,0.0578,0.9704,36.0,9.6,1,166.17,0,0
0.287,0.356,0.0705,0.1023,33.4,3.9,1,21.354,1,0
0.167,1.798,0.02,0.3008,23.1,24.7,0,17.825,0,1
3.074,0.966,0.0456,2.969,32.6,11.8,0,400.126,0,1
3.471,1.734,0.0741,6.0177,38.3,10.3,1,1319.469,0,0
1.752,0.503,0.0744,0.8806,36.8,8.0,1,193.97,1,0
0.463,0.128,0.0491,0.0591,31.0,7.7,0,8.625,1,0
0.203,0.787,0.0338,0.1595,24.2,39.2,0,15.988,0,1
1.253,0.431,0.0586,0.5405,30.5,10.2,1,93.787,0,0
0.68,0.576,0.0513,0.3915,33.0,1.0,1,59.518,1,0
0.23,1.014,0.0788,0.2334,23.3,6.2,1,54.462,0,0
0.784,1.065,0.0741,0.8344,27.2,3.6,1,182.981,1,0
0.135,0.122,0.091,0.0165,40.5,10.7,1,4.457,0,0
2.5,1.273,0.0822,3.1838,25.2,13.3,1,775.368,0,1
0.399,0.644,0.0545,0.2573,26.1,9.6,1,41.521,0,0
1.186,0.751,0.067,0.8906,36.4,4.7,1,176.448,1,0
0.474,0.383,0.1007,0.1814,24.4,31.7,2,54.147,0,1
0.834,0.537,0.052,0.4479,37.2,8.6,1,68.898,0,0
0.891,1.091,0.0635,0.9726,23.1,23.4,1,182.927,0,1
0.304,1.299,0.0599,0.3955,24.3,5.6,1,70.124,0,0
3.593,0.492,0.0603,1.7664,34.9,8.8,1,315.574,0,0
1.592,1.04,0.0425,1.6557,26.6,37.4,0,208.448,0,1
2.905,0.339,0.0862,0.9842,30.6,4.9,1,250.608,1,0
2.352,1.527,0.0417,3.5921,25.8,0.8,0,443.678,1,0
1.011,0.853,0.0972,0.8623,27.5,4.0,1,248.246,1,0
2.649,1.294,0.0928,3.4283,35.2,3.6,1,941.311,1,0
0.193,0.619,0.065,0.1192,34.1,5.2,1,22.947,1,0
0.318,0.308,0.0601,0.098,24.3,29.4,1,17.47,0,1
0.146,0.549,0.0445,0.0803,28.8,4.8,0,10.585,1,0
0.494,0.484,0.0614,0.239,31.5,8.3,1,43.458,0,0
0.592,0.424,0.0816,0.2508,31.8,2.6,1,60.622,1,0
