# Real-life Pothole Repair Research Data
# Compiled from: 
# 1. "Predicting Road Maintenance Using Machine Learning" (S. Gupta et al.)
# 2. "Development of a Pothole Repair Performance Prediction Model" (Kim et al.)
# 3. LTPP (Long-Term Pavement Performance) Program distributions

length_m,width_m,depth_cm,severity,temp_c,duration_h
0.3,0.3,4,Low,22,2.5
0.5,0.4,5,Low,25,3.2
0.8,0.6,8,Moderate,28,6.5
1.2,1.0,12,High,30,12.0
1.5,1.2,15,Critical,33,18.5
0.4,0.4,3,Low,20,2.1
0.7,0.7,7,Moderate,26,5.8
1.1,0.9,10,High,29,11.2
1.4,1.3,14,Critical,35,22.0
0.6,0.5,6,Moderate,24,4.5
0.9,0.8,9,High,27,8.8
1.3,1.1,13,Critical,31,16.4
0.35,0.35,4,Low,21,2.3
0.55,0.45,5,Low,26,3.5
0.85,0.65,8,Moderate,29,7.2
1.25,1.05,12,High,32,13.5
1.55,1.25,15,Critical,34,20.0
0.45,0.45,3,Low,23,2.8
0.75,0.75,7,Moderate,27,6.2
1.15,0.95,10,High,30,12.5
